Building ID,Building Name ,Location ,Group,Lot Area in sq. m.,Total Floor Area in sq. m.,Type of Construction,Condition,Estimate Repair Cost  in pesos,Latitude ,Longitude,Front View,Right Side View,Left Side View,Rear VIew
OCBO-2016-0011A,"Construction of Public Comfort Room, Panabo City, Davao del Norte 
","Magsaysay Street, New Pandan, Panabo City, Davao 8105, Philippines","Others",30,21,"Reinforced Concrete",Minor Repair,"9,000",7.3004857,125.681426,,,,
OCBO-2022-0058A, 27-Storey Condominium Building (The Enclaves Towers - Tower 3),"Genesis 88 Arcade, Eco W Dr, Talomo, Davao City, 8000 Davao del Sur","Main ","1,300","8,000",Reinforced Concrete ,On-Going Construction ,0,7.054513,125.587697,,,,
OCBO-2023-0065A,Tulip Commercial ,"Tulip Drive, Davao City ","Main ","4,000","6,500",Steel ,On-Going Construction,0,7.054727,125.588536,,,,
OCBO-2021-0047A,Salvaña Commercial Building ,"Sta. Filomena, Cateel, Davao Oriental 8205","Others",36,27.87,Reinforced Concrete,Minor Repair,"20,000",7.808,126.4428,,,,
OCBO-2025-0080A,Shokudo Japanese Restaurant Branch 3,Shokudo Japanese Restaurant Branch 3,"Main ",81,85,Reinforced Concrete,Good Condition ,0,7.0936,125.6132,,-,-,-
OCBO-2023-0061A,Belen-Eleven Mini Mart & Apartel,"El Rio, Vista Village, 4B Lupine Street, Bajada, Davao City",Main,150,360,Reinforced Concrete and Steel,Good Condtion ,0,7.103,125.598,,,,
OCBO-2024-0075A,Deohertz’s 2-Storey Residential/Booking Office,"Purok 2, Brgy. Communal, Buhangin District, Davao City",Main,500,130,Metal Cladding,On-Going Construction ,0,7.138783,125.62824,,,,
OCBO-2025-0083A,Catigan Single-Unit Residential House Construction and Development,"Catigan, Davao City, Davao del Sur, Philippines",Main,200,176,Reinforced Concrete and Steel,Minor Repair,"35,000",7.02237,125.38311,,,,
OCBO-2018-0029A,One-Storey Residential Building,"Estrada 4th Street, Brgy. Zone 2, Digos City, Davao del Sur",Others,300,200,Reinforced Concrete,Minor Repair,"15,000",6.753577,125.351913,,,,
OCBO-2025-0080A,Residential Building / Jasmine Model House,"Villa Señorita, Maa Diversion Road (Jasmine Model, Block 12A, Lot 10), Davao City, Davao del Sur, Philippines",Main,65.47,81.86,Reinforced Concrete and Steel,Minor Repair,"23,000",7.10037,125.57387,,,,
OCBO-2024-0084A,Operations Control Center,"Purok 3, Brgy, Waan, Buhangin, Davao City, Davao del Sur, Philippines, 8000
",Main,864.96,2594.88,Reinforced Concrete and Steel,Minor Repair,"15,000",83.875,89.193,,,,